abstract_input;u1;u2;u3
145;-1.0;1.0;2.0
146;-3.0;0.0;-2.0
147;3.0;2.0;3.0
148;3.0;-3.0;3.0
149;-1.0;2.0;0.0
150;-1.0;-3.0;0.0
151;2.0;1.0;1.0
152;2.0;2.0;-1.0
153;2.0;-3.0;-1.0
154;0.0;1.0;-2.0
155;3.0;0.0;-2.0
156;-3.0;0.0;1.0
157;-1.0;2.0;-2.0
158;-1.0;-3.0;-2.0
159;0.0;1.0;1.0
160;0.0;2.0;-1.0
161;0.0;-3.0;-1.0
162;3.0;0.0;1.0
163;-2.0;0.0;3.0
164;-3.0;1.0;-3.0
165;-3.0;1.0;2.0
166;-1.0;2.0;1.0
167;2.0;-2.0;-3.0
168;-1.0;-3.0;1.0
169;2.0;-2.0;2.0
170;-3.0;2.0;0.0
171;-3.0;-3.0;0.0
172;-2.0;-2.0;-1.0
173;1.0;2.0;-3.0
174;1.0;-3.0;-3.0
175;3.0;1.0;-3.0
176;1.0;2.0;2.0
177;1.0;-3.0;2.0
178;3.0;1.0;2.0
179;3.0;2.0;0.0
180;3.0;-3.0;0.0
181;0.0;-2.0;-3.0
182;0.0;-2.0;2.0
183;-3.0;2.0;-2.0
184;-3.0;-3.0;-2.0
185;-1.0;-1.0;3.0
186;3.0;2.0;-2.0
187;3.0;-3.0;-2.0
188;-3.0;-3.0;1.0
189;-3.0;2.0;1.0
190;-2.0;-1.0;-3.0
191;-2.0;-1.0;2.0
192;-2.0;0.0;0.0
193;3.0;2.0;1.0
194;3.0;-3.0;1.0
195;-2.0;2.0;3.0
196;-2.0;-3.0;3.0
197;-3.0;-1.0;3.0
198;-2.0;0.0;-2.0
199;1.0;0.0;3.0
200;3.0;-1.0;3.0
201;-1.0;-1.0;0.0
202;-2.0;0.0;1.0
203;2.0;-1.0;-1.0
204;-1.0;1.0;3.0
205;1.0;-2.0;-1.0
206;-2.0;1.0;-3.0
207;-1.0;-1.0;-2.0
208;-2.0;1.0;2.0
209;0.0;-1.0;-1.0
210;-2.0;2.0;0.0
211;-2.0;-3.0;0.0
212;-1.0;-1.0;1.0
213;-1.0;0.0;-1.0
214;-3.0;-1.0;0.0
215;1.0;-1.0;-3.0
216;-3.0;1.0;3.0
217;1.0;-1.0;2.0
218;-2.0;2.0;-2.0
219;-2.0;-3.0;-2.0
220;2.0;-2.0;3.0
221;1.0;0.0;0.0
222;3.0;-1.0;0.0
223;-3.0;-1.0;-2.0
224;1.0;-3.0;3.0
225;3.0;1.0;3.0
226;-1.0;1.0;0.0
227;1.0;2.0;3.0
228;-2.0;2.0;1.0
229;-2.0;-3.0;1.0
230;2.0;1.0;-1.0
231;0.0;-2.0;3.0
232;1.0;0.0;-2.0
233;3.0;-1.0;-2.0
234;-3.0;-1.0;1.0
235;-3.0;0.0;-1.0
236;-1.0;1.0;-2.0
237;0.0;1.0;-1.0
238;1.0;0.0;1.0
239;3.0;-1.0;1.0
240;3.0;0.0;-1.0
241;-2.0;-1.0;3.0
242;-1.0;1.0;1.0
243;-1.0;2.0;-1.0
244;-1.0;-3.0;-1.0
245;-3.0;1.0;0.0
246;1.0;1.0;-3.0
247;2.0;-2.0;0.0
248;1.0;1.0;2.0
249;1.0;2.0;0.0
250;1.0;-3.0;0.0
251;3.0;1.0;0.0
252;-3.0;1.0;-2.0
253;2.0;-2.0;-2.0
254;0.0;-2.0;0.0
255;-1.0;-2.0;-3.0
256;-1.0;-2.0;2.0
257;1.0;2.0;-2.0
258;1.0;-3.0;-2.0
259;3.0;1.0;-2.0
260;-3.0;1.0;1.0
261;-3.0;2.0;-1.0
262;-3.0;-3.0;-1.0
263;2.0;-2.0;1.0
264;0.0;-2.0;-2.0
265;-2.0;-1.0;0.0
266;1.0;2.0;1.0
267;1.0;-3.0;1.0
268;3.0;1.0;1.0
269;3.0;2.0;-1.0
270;3.0;-3.0;-1.0
271;-2.0;1.0;3.0
272;0.0;-2.0;1.0
273;-2.0;-1.0;-2.0
274;-3.0;-2.0;-3.0
275;-3.0;-2.0;2.0
276;2.0;0.0;-3.0
277;1.0;-1.0;3.0
278;2.0;0.0;2.0
279;-2.0;-1.0;1.0
280;-2.0;0.0;-1.0
281;3.0;-2.0;-3.0
282;3.0;-2.0;2.0
283;0.0;0.0;-3.0
284;0.0;0.0;2.0
285;-2.0;1.0;0.0
286;-1.0;-1.0;-1.0
287;-2.0;1.0;-2.0
288;1.0;-1.0;0.0
289;2.0;2.0;-3.0
290;2.0;-3.0;-3.0
291;1.0;1.0;3.0
292;2.0;2.0;2.0
293;2.0;-3.0;2.0
294;-2.0;1.0;1.0
